[16:04:07.084] Created Window
[16:04:07.112] Setup Shaders
[16:04:07.461] Setup Player
[16:04:07.707] Setup Scene Graph
[16:04:07.775] Entering Render Loop
[16:04:13.184] Vector3f[-67.5, -23.700052, 0.0]
[16:04:13.184] Vector3f[-67.5, -23.800053, 0.0]
[16:04:13.185] Vector3f[-67.5, -23.900053, 0.0]
[16:04:13.185] Vector3f[-67.5, -24.000053, 0.0]
[16:04:13.185] Vector3f[-67.5, -24.100054, 0.0]
[16:04:13.185] Vector3f[-67.5, -24.200054, 0.0]
[16:04:13.185] Vector3f[-67.5, -24.300055, 0.0]
[16:04:13.185] Vector3f[-67.5, -24.400055, 0.0]
[16:04:13.186] Vector3f[-67.5, -24.500055, 0.0]
[16:04:13.186] Vector3f[-67.5, -24.600056, 0.0]
[16:04:13.186] Vector3f[-67.5, -24.700056, 0.0]
[16:04:13.186] Vector3f[-67.5, -24.800056, 0.0]
[16:04:13.186] Vector3f[-67.5, -24.900057, 0.0]
[16:04:13.186] Vector3f[-67.5, -25.000057, 0.0]
[16:04:13.187] Vector3f[-67.5, -25.100058, 0.0]
[16:04:13.187] Vector3f[-67.5, -25.200058, 0.0]
[16:04:13.187] Vector3f[-67.5, -25.300058, 0.0]
[16:04:13.187] Vector3f[-67.5, -25.400059, 0.0]
[16:04:13.187] Vector3f[-67.5, -25.50006, 0.0]
[16:04:13.187] Vector3f[-67.5, -25.60006, 0.0]
[16:04:13.187] Vector3f[-67.5, -25.70006, 0.0]
[16:04:13.187] Vector3f[-67.5, -25.80006, 0.0]
[16:04:13.187] Vector3f[-67.5, -25.90006, 0.0]
[16:04:13.188] Vector3f[-67.5, -26.000061, 0.0]
[16:04:13.188] Vector3f[-67.5, -26.100061, 0.0]
[16:04:13.188] Vector3f[-67.5, -26.200062, 0.0]
[16:04:13.188] Vector3f[-67.5, -26.300062, 0.0]
[16:04:13.188] Vector3f[-67.5, -26.400063, 0.0]
[16:04:13.189] Vector3f[-67.5, -26.500063, 0.0]
[16:04:13.189] Vector3f[-67.5, -26.600063, 0.0]
[16:04:13.189] Vector3f[-67.5, -26.700064, 0.0]
[16:04:13.189] Vector3f[-67.5, -26.800064, 0.0]
[16:04:13.198] Vector3f[-67.5, -26.900064, 0.0]
[16:04:13.216] Vector3f[-67.5, -27.000065, 0.0]
[16:04:13.232] Vector3f[-67.5, -27.100065, 0.0]
[16:04:13.250] Vector3f[-67.5, -27.200066, 0.0]
[16:04:13.267] Vector3f[-67.5, -27.300066, 0.0]
[16:04:13.284] Vector3f[-67.5, -27.400066, 0.0]
[16:04:13.300] Vector3f[-67.5, -27.500067, 0.0]
[16:04:13.317] Vector3f[-67.5, -27.600067, 0.0]
[16:04:13.334] Vector3f[-67.5, -27.700068, 0.0]
[16:04:13.351] Vector3f[-67.5, -27.800068, 0.0]
[16:04:13.368] Vector3f[-67.5, -27.900068, 0.0]
[16:04:13.386] Vector3f[-67.5, -28.000069, 0.0]
[16:04:13.402] Vector3f[-67.5, -28.100069, 0.0]
[16:04:13.419] Vector3f[-67.5, -28.20007, 0.0]
[16:04:13.436] Vector3f[-67.5, -28.30007, 0.0]
[16:04:13.453] Vector3f[-67.5, -28.40007, 0.0]
[16:04:13.471] Vector3f[-67.5, -28.50007, 0.0]
[16:04:13.487] Vector3f[-67.5, -28.60007, 0.0]
